Nr;Object;N_Measurements
2829;T1;1
2830;T1;2
2831;T1;3
2832;T2;1
2833;T2;2
2834;T2;3
2835;0;0
2836;0;0
2837;T3;1
2838;T3;2
2839;0;0
2840;T3;3
2841;T4;1
2842;T4;2
2843;T4;3
2844;T5;1
2845;T5;2
2846;T5;3
2847;T6;1
2848;T6;2
2849;T6;3
2850;T7;1
2851;T7;2
2852;T7;3
2853;T8;1
2854;T8;2
2855;T8;3
2856;T9;1
2857;T9;2
2858;T9;3
2859;T10;1
2860;T10;2
2861;T10;3
